Numer_zgloszenia;Numer_prawa_wylacznego;Data_Zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Nazwa_znaku;Rodzaj_znaku;Uprawnieni;Miasto_uprawnionego;Kraj_uprawnionego;Pelnomocnicy;Klasyfikacja_nicejska;Klasyfikacja_wiedenska;Status_sprawy;
021649;015322;1927-03-09;;;09/1927;1927-09-30;CARON;S;PARFUMS CARON S.A.;Paryż;FR;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 03 ;;Udzielenie prawa;
021687;015682;1927-03-12;;;;;g;G;Akitebelaget Bahco;Sztokholm;SE;PHZ "Polservice";NIC: 07 08 ;VIE: 0309 ;Wygaśnięcie prawa ochronnego;
021756;016336;1927-03-24;;;;;INDIA RUBBER CHAS;SG;Macintosh N.V.;Stein;NL;PHZ "Polservice";NIC: 25 ;VIE: 0209 0307 2602 2705 ;Wygaśnięcie prawa ochronnego;
021802;016129;1927-03-30;;;;;;G;THE BRITISH VAN HEUSEN COMPANY LIMITED;LONDYN;GB;"Patpol" Sp. z o.o.;NIC: 25 ;VIE: 0201 2601 ;Wygaśnięcie prawa ochronnego;
022056;016413;1927-05-14;;;05/1928;1928-05-31;SUNKIST;SG;SUNKIST GROWERS,INC.;Valencia;US;Ludwika Przybyło;NIC: 31 ;VIE: 2705 ;Udzielenie prawa;
022118;016134;1927-05-24;;;;;ICILMA;S;Lever B.V.;Vlaardingen;NL;Patpol Sp. z o.o.;NIC: 03 ;;Wygaśnięcie prawa ochronnego;
022230;021681;1927-06-07;;;;;TITAN;SG;Kronos Titan A/S;Fredrikstad;NO;"Patpol" Sp. z o.o.;NIC: 01 02 ;VIE: 0111 0201 2705 ;Wygaśnięcie prawa ochronnego;
022336;016142;1927-06-22;;;;;PRINCE ALBERT;SG;R.J.Reynolds Tobacco Company;Winston-Salem;US;"Patpol" Sp. z o.o.;NIC: 34 ;VIE: 0201 2507 2601 2604 2705 ;Wygaśnięcie prawa ochronnego;
022352;015903;1927-06-25;;;02/1928;1928-02-29;VIM;SG;Unilever N.V.;Rotterdam;NL;"Patpol" sp. z o.o.;NIC: 03 ;VIE: 2603 2604 2705 ;Wygaśnięcie prawa ochronnego;
022385;015854;1927-07-02;;;;;FLIT;S;Exxon Corporation;Nowy Jork;US;PHZ "Polservice";NIC: 05 ;;Wygaśnięcie prawa ochronnego;
022429;016449;1927-07-09;;;;;VAUXHALL;S;Vauxhall Motors Limited;Kimpton Road, Luton, Bedfordshire;GB;PHZ "Polservice";NIC: 12 ;;Wygaśnięcie prawa ochronnego;
022430;016450;1927-07-09;;;;;VAUXHALL MOTORS LUTON;SG;Vauxhall Motors Limited;Bedfordshire;GB;PHZ "Polservice";NIC: 12 ;VIE: 0403 2601 2705 ;Wygaśnięcie prawa ochronnego;
022586;016156;1927-08-11;;;;;DOUBLE GORDON;SG;G.H.Mumm & Cie, Société Vinicole de Champagne, Successur;Reims;FR;PHZ "Polservice";NIC: 32 33 ;VIE: 2403 2417 2604 2605 2705 2901 ;Wygaśnięcie prawa ochronnego;
022735;016262;1927-09-16;;;;;ETHYL;SG;Ethyl Corporation;Richmond;US;PHZ "Polservice" ZT-3/9774;NIC: 04 ;VIE: 2507 2601 2603 2604 2611 2705 ;Wygaśnięcie prawa ochronnego;
022943;016644;1927-10-27;;;06/1928;1928-06-30;BISODOL;S;Wyeth;Madison;US;"Patpol" Sp. z o.o.;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
023038;017716;1927-11-18;;;;;ALOXITE;S;The Carborundum Company;Niagara Falls;US;PHZ "Polservice" ZT-3/8331;NIC: 03 07 ;;Wygaśnięcie prawa ochronnego;
023172;016733;1928-01-30;;;07/08/1928;1928-08-31;BRAMPTON;S;BRAMPTON FITTINGS LIMITED;NOTTINGHAM;GB;PHZ "Polservice";NIC: 12 17 ;;Wygaśnięcie prawa ochronnego;
023246;016651;1927-12-27;;;;;SOLVAY SODA;S;SOLVAY;Bruksela;BE;PHZ "Polservice";NIC: 01 03 05 ;;Wygaśnięcie prawa ochronnego;
023247;016652;1927-12-27;;;;;SODA SOLVAY;S;SOLVAY;Bruksela;BE;PHZ "Polservice";NIC: 01 03 05 ;;Wygaśnięcie prawa ochronnego;
023248;016653;1927-12-27;;;;;SOSA SOLVAY;S;SOLVAY;Ixelles-Bruxelles;BE;PHZ "Polservice";NIC: 01 03 05 ;;Wygaśnięcie prawa ochronnego;
023258;017247;1927-12-30;;;;;PALMOLIVE;S;Colgate-Palmolive Company;Nowy Jork;US;Patpol Sp. z o.o.;NIC: 03 ;;Wygaśnięcie prawa ochronnego;
023267;016698;1928-01-02;;;08/1928;1928-09-29;VERMOUTH;SG;Francesco Cinzano & C.Ia S.p.A.;Turyn;IT;Kulikowska & Kulikowski;NIC: 33 ;VIE: 2401 2405 2501 2604 2705 2901 ;Wygaśnięcie prawa ochronnego;
023268;016547;1928-01-02;;;;;JOHNNIE WALKER BLACK LABEL;SG;John Walker & Sons, Limited;Londyn;GB;"Patpol" Sp. z o.o.;NIC: 33 ;VIE: 2604 2705 ;Wygaśnięcie prawa ochronnego;
023602;017382;1928-02-29;;;;;WESTINGHOUSE;S;CBS Corporation;Pittsburgh;US;"Polservice";NIC: 09 ;;Wygaśnięcie prawa ochronnego;
023620;017048;1928-02-20;;;;;MONOTYPE;S;The Monotype Corporation Public Limited Company;Londyn;GB;"Patpol" Sp. z o.o.;NIC: 04 07 08 09 16 ;;Wygaśnięcie prawa ochronnego;
023641;017062;1928-03-06;;;10/1928;1928-10-31;M;SG;O.MUSTAD & SÖN A/S;GJOVIK;NO;"Polservice" Sp. z o.o.;NIC: 28 ;VIE: 2601 2705 ;Wygaśnięcie prawa ochronnego;
023736;017579;1928-03-19;;;;;POLYNOL;S;Severoćeskie Turkové Zavody narodni podnik;Ujście nad Łabą;CS;PIHZ "Patpol" 0-2596/WK/78;NIC: 01 02 03 04 07 34 ;;Wygaśnięcie prawa ochronnego;
023834;016907;1928-01-10;;;;;Z;SG;Zbrojovka Brno, koncernovy podnik;Brno;CZ;"Patpol" Sp. z o.o.;NIC: 09 12 13 ;VIE: 2601 2705 ;Wygaśnięcie prawa ochronnego;
023952;016966;1928-04-06;;;09/1928;1928-09-29;GABA;S;GABA INTERNATIONAL HOLDING GMBH;Therwil;CH;rzecz. pat. Joanna  Kowalewska;NIC: 01 03 05 30 ;;Udzielenie prawa;
023953;016967;1928-04-06;;;;;GABA;SG;Gaba International AG;Bazylea;CH;PHZ "Polservice";NIC: 01 03 05 30 ;VIE: 2603 2604 2705 ;Wygaśnięcie prawa ochronnego;
024058;017602;1928-04-23;;;02/1929;1929-02-28;SAPAMIN;S;Ciby Specialty Chemicals Holding Inc.;Bazylea;CH;PHZ "Polservice";NIC: 01 03 05 ;;Wygaśnięcie prawa ochronnego;
024095;019944;1928-04-27;;;;;DICTAPHONE;S;Dictaphone Corporation (a Delaware corporation);Nowy Jork;US;PHZ "Polservice" ZT-3/2902;NIC: 09 ;;Wygaśnięcie prawa ochronnego;
024115;017511;1928-05-02;;;01/1929;1929-01-31;MYRURGIA;S;Antonio Puig S.A.;Barcelona;ES;Bartosz Krakowiak POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 03 ;;Udzielenie prawa;
024127;017722;1928-05-05;;;;;;G;SANDVIK AKTIEBOLAG;SANDWIKEN;SE;PHZ "Polservice" ZT-3/4156;NIC: 06 08 21 ;VIE: 0309 1403 ;Wygaśnięcie prawa ochronnego;
024145;018946;1928-05-08;;;11/1929;1929-11-30;LUX;S;AKTIEBOLAGET ELEKTROLUX;SZTOKHOLM;SE;Alicja Pers PATPOL Spółka z o.o.;NIC: 01 04 06 07 08 09 19 20 21 22 10 11 12 17 ;;Udzielenie prawa;
024146;017282;1928-05-08;;;11/1928;1928-11-30;ELECTROLUX;S;AKTIEBOLAGET ELECTROLUX;SZTOKHOLM;SE;;NIC: 03 07 08 11 21 ;;Udzielenie prawa;
024175;017623;1928-05-11;;;02/1929;1929-02-28;LISTERINE;S;JOHNSON & JOHNSON;NEW BRUNSWICK;US;WANDA KULIKOWSKA;NIC: 03 05 ;;Udzielenie prawa;
024181;017288;1928-05-14;;;;;SIMANCO;S;The Singer Company;Nowy Jork;US;PHZ "Polservice" ZT-3/6588;NIC: 07 ;;Wygaśnięcie prawa ochronnego;
024221;017413;1928-05-19;;;;;ZIPP;S;Bickford & Co. Aktiengesellschaft;Wiedeń;AT;PHZ "Polservice" ZT-3/6461;NIC: 06 ;;Wygaśnięcie prawa ochronnego;
024236;018703;1929-01-09;;;;;AQUASCUTUM;S;Aquascutum Limited;Londyn;GB;"Patpol" Sp. z o.o.;NIC: 25 ;;Wygaśnięcie prawa ochronnego;
024317;017632;1928-06-01;;;02/1929;1929-02-28;SCHICK;SG;EDGEWELL PERSONAL CARE BRANDS, LLC;SHELTON;US;;NIC: 08 ;VIE: 2705 ;Udzielenie prawa;
024369;017729;1928-06-13;;;03/1929;1929-03-30;VICKS;SG;The Procter & Gamble Company;Cincinnati;US;Wanda Kulikowska Kulikowska i Kulikowski;NIC: 05 ;VIE: 2507 2603 2604 2705 ;Udzielenie prawa;
024520;017750;1928-07-04;;;03/1929;1929-03-30;GESTETNER;S;NRG MANUFACTURING LIMITED;Londyn;GB;Bartosz Krakowiak POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 01 08 16 20 ;;Udzielenie prawa;
024703;017944;1928-07-31;;;;;CUSENIER;S;Pernod Ricard;Paryż;FR;PHZ "Polservice";NIC: 32 33 ;;Wygaśnięcie prawa ochronnego;
024771;017879;1928-08-13;;;;;S SANDOZ;SG;Sandoz A.G.;Bazylea;CH;"Patpol" Sp. z o.o.;NIC: 02 05 ;VIE: 2603 2705 ;Wygaśnięcie prawa ochronnego;
024774;017881;1928-08-14;;;;;MERCEROL;S;Sandoz A.G.;Bazylea;CH;"Patpol" Sp. z o.o.;NIC: 01 ;;Wygaśnięcie prawa ochronnego;
024806;019087;1928-08-21;;;;;VEGETAL;S;Severoceske Tukove Zavody, narodni podnik;Usti nad Łabą;CS;PHZ "Polservice" ZT-3/5122/79;NIC: 01 03 04 ;;Wygaśnięcie prawa ochronnego;
024835;017790;1928-08-25;;;03/1929;1929-03-30;SANDVIK;S;Sandvik Intellectual Property AB;Sandviken;SE;Ludwika Przybyło PATPOL Sp. z o.o.;NIC: 01 06 07 08 12 ;;Udzielenie prawa;
024837;018089;1928-08-25;;;;;PATHFINDER;S;The Goodyear Tire and Rubber Company;Akron;US;PHZ "Polservice" ZT-3/9551;NIC: 12 17 ;;Wygaśnięcie prawa ochronnego;
025073;018307;1928-10-03;;;;;VERY OLD PALE;SG;Société Martell & Co.;Cognac;FR;PHZ "Polservice" ZT-3/5065/79;NIC: 33 ;VIE: 0307 0513 2604 2705 ;Wygaśnięcie prawa ochronnego;
025127;018140;1928-10-15;;;;;LUX;S;Unilever N.V.;Rotterdam;NL;"Patpol" Sp. z o.o.;NIC: 03 ;;Wygaśnięcie prawa ochronnego;
025366;019088;1928-11-20;;;12/1929;;ESSO;S;Exxon Mobil Corporation;Irving;US;Jan A. Bucyk POLSERVICE Spółka z o.o.;NIC: 04 ;;Udzielenie prawa;
025410;018337;1928-11-28;;;;;THORAX;SG;SKLO UNION,koncern pro vyrobu prumysoveho skla;Teplice;CS;"Patpol" Sp. z o.o.;NIC: 20 21 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
025424;018492;1928-11-30;;;;;PENNZOIL;SG;Pennzoil Products Company;Houston;US;PHZ "Polservice" ZT-3/2517;NIC: 04 ;VIE: 2203 2705 ;Wygaśnięcie prawa ochronnego;
025648;018540;1929-03-06;;;;;FLUX;S;F.L. Smidth & Co. A/S;Kopenhaga;DK;PHZ "Polservice";NIC: 09 ;;Wygaśnięcie prawa ochronnego;
025971;018731;1928-02-21;;;;;FARMALL;S;J.I.Case Company /Deleware corporation/;Racine;US;PHZ "Polservice";NIC: 12 ;;Wygaśnięcie prawa ochronnego;
025973;018458;1929-02-22;;;;;PYRIDIUM;S;Warner - Lambert Company;Morris Plains;US;PHZ "Polservice" ZT-3/2516;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
025996;018569;1929-02-25;;;;;CROWN;S;UNITAN Sociedad Anonima Industrial Comercial y Agropecuariapecuaria;Buenos Aires;AR;PHZ "Polservice";NIC: 01 ;;Wygaśnięcie prawa ochronnego;
026102;019024;1929-03-19;;;12/1929;1929-12-31;GLOBAR;SG;KENNECOTT CORP.;NOWY JORK;US;PHZ "Polservice" ZT-3/8332;NIC: 09 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
026130;018629;1929-03-25;;;09/1929;1929-09-30;GORDON'S;S;DIAGEO BRANDS B.V.;AMSTERDAM;NL;Wanda Kulikowska Wanda Kulikowska i/lub Jarosław Kulikowski;NIC: 33 ;;Udzielenie prawa;
026160;018746;1929-03-28;;;;;BEECHIES;S;Nabisco,Inc.;East Hanower;US;PHZ "Polservice" ZT-3/7390/85;NIC: 30 ;;Wygaśnięcie prawa ochronnego;
026174;018671;1929-04-02;;;;;VAN HOUTEN;S;Van Houten International GmbH & Co. KG;Norderstedt;DE;PHZ "Polservice";NIC: 30 ;;Wygaśnięcie prawa ochronnego;
026381;019123;1929-05-01;;;;;ŚNIEG TATRZAŃSKI;SG;Beiersdorf-Lechia Spółka Akcyjna;Poznań;PL;;NIC: 03 ;VIE: 0115 0513 0601 2507 2604 2705 ;Wygaśnięcie prawa ochronnego;
026564;019107;1929-05-28;;;;;;G;Dolfus-Mieg & Cie;Paryż;FR;PHZ "Polservice" ZT-3/13020;NIC: 22 23 24 26 ;VIE: 2203 ;Wygaśnięcie prawa ochronnego;
026612;019640;1929-07-27;;;04/1930;1930-04-30;DIMPLE;S;Diageo Brands B.V.;Amsterdam;GB;Kulikowska & Kulikowski;NIC: 33 ;;Udzielenie prawa;
026743;019541;1929-06-28;;;;;JAZ;S;KABUSHIKI KAISHA HATTORI SEIKO;Tokio;JP;EWA MALEWSKA rzecznik patentowy;NIC: 14 ;;Wygaśnięcie prawa ochronnego;
026979;019504;1929-06-28;;;;;AMBASSADEUR;S;Pernod Ricard;Paryż;FR;PHZ "Polservice";NIC: 33 ;;Wygaśnięcie prawa ochronnego;
026994;020357;1929-08-19;;;09/1930;1930-09-30;LYONS;S;J.LYONS AND COMPANY LIMITED;LONDYN;GB;PIHZ "Patpol";NIC: 30 ;;Wygaśnięcie prawa ochronnego;
027062;019360;1929-08-30;;;;;BRILLO;S;CHURCH AND DWIGHT, CO. INC.;Princeton;US;"Polservice" Sp. z o.o.;NIC: 03 ;;Wygaśnięcie prawa ochronnego;
027072;019496;1929-09-02;;;03/1930;1930-03-31;B.V.D;SG;The B.V.D. Licensing Corporation;Bowling Green;US;Bartosz Krakowiak POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 25 ;VIE: 2604 2705 ;Udzielenie prawa;
027272;020410;1929-10-11;;;09/1930;1930-09-30;ALPA;S;ALPA A.S.;VELKÉ MEZIŘÍČÍ;CZ;Aleksandra Kryśka PATPOL Sp. z o.o.;NIC: 03 ;;Udzielenie prawa;
027359;019830;1929-10-26;;;;;GRIFFIN;SG;Reckitt & Colman (Overseas) Limited;Hull;GB;Patpol Sp. z o.o.;NIC: 03 ;VIE: 0403 2601 2705 ;Wygaśnięcie prawa ochronnego;
027645;019959;1929-12-20;;;06/1930;1930-06-30;GEMEY;S;L'Oreal;Paryż;FR;Jadwiga Szewczyk Polservice Kancelaria Rzeczników Patentowych Sp. z o.o.;NIC: 03 ;;Udzielenie prawa;
027727;019879;1929-12-31;;;06/1930;1930-06-30;TECHNICOLOR;S;TECHNICOLOR TRADEMARK MANAGEMENT;BOULOGNE-BILLANCOURT;FR;Wanda Kulikowska Kulikowska & Kulikowski sp. j.;NIC: 09 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
027785;021576;1930-01-10;;;07/08/1931;1931-08-31;LINGUAPHONE;S;LINGUAPHONE INSTITUTE LIMITED;LONDYN;GB;PHZ "Polservice";NIC: 09 ;;Wygaśnięcie prawa ochronnego;
028176;020052;1930-03-10;;;;;TECHNICOLOR;SG;Koh-i-noor tuzkarna L.& C. Hardtmuth, narodni podnik;Budejovice;CZ;"Patpol" Sp. z o.o.;NIC: 16 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
028182;020146;1930-03-11;;;;;BELLADENAL;S;Sandoz A.G.;Bazylea;CH;"Patpol" Sp. z o.o.;NIC: 01 05 ;;Wygaśnięcie prawa ochronnego;
028281;020851;1930-03-31;;;02/1931;1931-02-28;CHROMALOX;S;Chromalox, Inc.;Pittsburgh;US;Bartosz Krakowiak POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 09 11 ;;Udzielenie prawa;
028285;020601;1930-04-01;;;11/1930;1930-11-29;NATIONAL;SG;NCR CORPORATION;DAYTON;US;"Patpol" Sp. z o.o.;NIC: 09 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
028504;020766;1930-05-02;;;;;IDEAL;S;American Standard Inc./Dalaware corporation/;Nowy Jork;US;"Patpol" Sp. z o.o.;NIC: 06 07 11 ;;Wygaśnięcie prawa ochronnego;
028519;020907;1930-05-07;;;;;MASONITE;S;Masonite Corporation;Chicago;US;"Patpol" Sp. z o.o.;NIC: 16 17 31 ;;Wygaśnięcie prawa ochronnego;
028748;020738;1930-06-12;;;12/1930;;CHESTERFIELD CIGARETTES;SG;PHILIP MORRIS PRODUCTS S.A.;Neuchatel;CH;Maciej Krawczak POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 34 ;VIE: 2401 2705 ;Udzielenie prawa;
028760;020779;1930-06-16;;;01/1931;1931-01-31;SHARPLES SUPER CENTRIFUGE;SG;Alfa Laval Inc. (New Jersey corporation);Kenosha;US;Jan Wirzchoń & Partnerzy;NIC: 07 ;VIE: 2701 2705 ;Wygaśnięcie prawa ochronnego;
028800;021190;1930-06-25;;;04/1931;1931-04-30;VEEDOL;S;Veedol International Limited;Glasgow;GB;Biuro Patentowe i Znaków Towarowych Jan Wierzchoń;NIC: 04 ;;Wygaśnięcie prawa ochronnego;
028951;025101;1930-07-25;;;;;SILVERLEAF;SG;Swift & Company;Chicago;US;;NIC: 29 30 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
029015;020722;1930-05-27;;;12/1930;;ROTALIX;S;Koninklijke Philips N.V.;Einhoven;NL;Izabella Dudek-Urbanowicz PATPOL KANCELARIA PATENTOWA Sp. z o.o.;NIC: 10 ;;Udzielenie prawa;
029135;021688;1930-09-02;;;;;LAINES DE PINGOUIN;S;V.E.V;Roubaix;FR;PHZ "Polservice" ZT-3/5239;NIC: 23 ;;Wygaśnięcie prawa ochronnego;
029205;021210;1930-09-15;;;04/1931;1931-04-30;ILFORD;S;Ilford Imaging Switzerland GmbH;Marly;CH;Agnieszka Skrzypczak Przedsiębiorstwo Rzeczników Patentowych PATPOL Spółka z o.o.;NIC: 09 ;;Udzielenie prawa;
029207;021212;1930-09-15;;;04/1931;1931-04-30;COURTAULDS;S;Courtaulds Limited;Londyn;GB;PHZ "Polservice";NIC: 23 ;;Wygaśnięcie prawa ochronnego;
029297;023671;1930-10-02;;;;;I C I;SG;Imperial Chemical Industriales PLC.;Londyn;GB;PIHZ "Patpol";NIC: 12 13 ;VIE: 0115 2601 2705 ;Wygaśnięcie prawa ochronnego;
029433;021396;1930-10-31;;;06/1931;1931-06-30;TUBORG;S;Carlsberg Breweries A/S;Kopenhaga;DK;Bartosz Krakowiak POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 32 ;;Udzielenie prawa;
029491;021245;1930-03-31;;;05/1931;1931-05-30;KIA-ORA;S;Schweppes International Limited;Londyn;GB;"Patpol" Sp. z o.o.;NIC: 29 32 ;;Wygaśnięcie prawa ochronnego;
029493;021227;1930-11-14;;;04/1931;1931-04-30;OPTALIDON;S;Novartis AG;Bazylea;CH;Kulikowska & Kulikowski;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
029503;021064;1930-11-17;;;03/1931;1931-03-31;LUMA;S;Lumalampan AB;Karlskrona;SE;PHZ "Polservice";NIC: 11 ;;Wygaśnięcie prawa ochronnego;
029631;021475;1930-12-15;;;06/1931;1931-06-30;KLIM;SG;BFC INVESTMENTS, L.P.;Wilmington;US;"Polservice";NIC: 29 ;VIE: 2507 2605 2705 ;Wygaśnięcie prawa ochronnego;
029765;021363;1931-01-10;;;05/1931;1931-05-30;COLGATE;S;COLGATE PALMOLIVE COMPANY;NOWY JORK;US;Jan Bucyk POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 03 ;;Udzielenie prawa;
029766;021364;1931-01-10;;;05/1931;1931-05-30;COLGATE;S;COLGATE PALMOLIVE COMPANY;NOWY JORK;US;Jan Bucyk POLSERVICE Kancelaria Rzeczników Patentowych Spółka z o.o.;NIC: 03 ;;Udzielenie prawa;
029815;021506;1931-01-22;;;;;BEDFORD;SG;Vauxhall Motors Limited;Luton;GB;PHZ "Polservice";NIC: 12 ;;Wygaśnięcie prawa ochronnego;
029841;021726;1931-01-29;;;07/08/1931;1931-08-31;TALISMAN;S;SETUZA A.S.;USTI NAD ŁABĄ;CZ;PATPOL Spółka z o.o.;NIC: 01 03 04 13 29 30 32 34 ;;Wygaśnięcie prawa ochronnego;
029979;021535;1931-02-25;;;06/1931;1931-06-30;CORA;SG;CORA S.p.A.;Canelli;IT;Polservice;NIC: 33 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
030076;021651;1931-03-10;;;;;COLGATE'S;SG;Colgate Palmolive Company;Nowy Jork;US;"Patpol" Sp. z o.o.;NIC: 03 ;VIE: 2604 2705 0209 1005 2507 ;Wygaśnięcie prawa ochronnego;
030258;021947;1931-04-16;;;;;A B;SG;Glaxo Group Limited;Londyn;GB;PHZ "Polservice" ZT-3/6120/81;NIC: 05 ;VIE: 1911 2601 2705 ;Wygaśnięcie prawa ochronnego;
030262;021887;1931-04-18;;;10/1931;1931-10-31;A ALPA FRANCOVKA;SG;ALPA, S.R.O.;VELKE MEZIRICI;CZ;"Patpol" sp. z o.o.;NIC: 05 ;VIE: 0101 2505 2613 2705 ;Wygaśnięcie prawa ochronnego;
030288;021962;1931-04-24;;;11/1931;1931-11-30;LEDERLE;S;WYETH HOLDINGS CORPORATION;MADISON;US;Anna Burakowska PATPOL Spółka z o.o.;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
030338;022437;1931-04-30;;;04/1932;1932-04-30;SYLKO TREE SCHELLS;SG;J. & P. Coats Limited;Glasgow;GB;Agnieszka Skrzypczak PATPOL Spółka z o.o.;NIC: 23 ;VIE: 0309 2601 2602 2605 2705 ;Udzielenie prawa;
030369;022564;1931-05-07;;;;;MENTHOLATUM;S;The Mentholatum Company Limited;Twyford;GB;PIHZ "Patpol" O-2498/WK;NIC: 01 05 ;;Wygaśnięcie prawa ochronnego;
030412;021795;1931-05-15;;;09/1931;1931-09-30;SUGUS;S;WM. WRIGLEY JR. COMPANY;CHICAGO;US;Agnieszka Woszczak-Kamińska Kamiński Sobajda i Partnerzy Kancelaria Patentowa Spółka Partnerska;NIC: 30 ;;Udzielenie prawa;
030507;022054;1931-06-01;;;12/1931;1800-01-01;CASE;SG;CNH Industrial America LLC;Racine;US;;NIC: 07 ;VIE: 2705 ;Udzielenie prawa;
030519;022204;1931-06-05;;;01/1932;1932-01-30;HAIG'S WHISKY;S;Diageo Brands B.V.;Amsterdam;NL;Kulikowska & Kulikowski;NIC: 33 ;;Udzielenie prawa;
030594;022058;1931-06-16;;;12/1931;;OUABAINE ARNAUD;S;Nativelle Societe Anonyme,Madame Maurice Goudal,Madame Francis Langlumé,Monsieur Jean Guillemin,Monsieur Francois Guillemin and Madame Alain Petit;Genewa;CH;PHZ "Polservice";NIC: 05 ;;Wygaśnięcie prawa ochronnego;
030693;022060;1931-07-14;;;12/1931;;INVADIN;S;Ciba Specialty Chemicals Holding Inc.;Bazylea;CH;Polservice;NIC: 01 ;;Wygaśnięcie prawa ochronnego;
030700;022112;1931-07-16;;;;;HOBART;SG;Premark FEG Corporation /a Delaware corporation/;Wilmington;US;Patpol Sp.z o.o.;NIC: 07 08 ;VIE: 2507 2601 2705 ;Wygaśnięcie prawa ochronnego;
030823;022542;1931-09-07;;;04/1932;1932-04-30;NEOPOST;S;NEOPOST S.A.;Bagneux;FR;Wanda Kulikowska Kulikowska i Kulikowski Sp. j.;NIC: 07 16 ;;Udzielenie prawa;
031025;022280;1931-10-08;;;02/1932;1932-02-29;CARNATION;SG;Societe des Produits Nestle;Vevey;CH;"Patpol" Spółka z o.o.;NIC: 29 ;VIE: 0505 2507 2604 2705 ;Wygaśnięcie prawa ochronnego;
031044;022486;1931-10-13;;;;;PROSTIGMIN;S;F.Hoffmann-La Roche AG;Bazylea;CH;"Patpol" Sp. z o.o.;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
031179;022498;1931-11-18;;;;;PALMOLIVE SHAVE CREAM;SG;Colgate-Palmolive Company;Chicago;US;PIHZ "Patpol" O-2201/WK;NIC: 03 ;VIE: 2507 2604 2705 ;Wygaśnięcie prawa ochronnego;
031313;023313;1931-12-04;;;12/1932;1932-12-31;;G;EMI RECORDS LIMITED;HAYES;GB;PIHZ "Patpol";NIC: 09 ;VIE: 2601 0307 0401 ;Wygaśnięcie prawa ochronnego;
031314;023314;1931-12-04;;;12/1932;;HIS MASTER'S VOICE;SG;HMV (IP) Limited;Maidenhead, Berks;GB;Sławomira Łazewska Sławomira Łazewska i Syn;NIC: 09 ;;Wygaśnięcie prawa ochronnego;
031315;023315;1931-12-04;;;;;ZONOPHONE;S;EMI Records Limited;Hayes, Middle;GB;PIHZ "Patpol" 0-5742/WK;NIC: 09 ;;Wygaśnięcie prawa ochronnego;
031620;022790;1932-02-25;;;06/1932;1932-06-30;MACLEANS;S;GLAXO GROUP LIMITED;GREENFORD;GB;;NIC: 03 05 ;;Wygaśnięcie prawa ochronnego;
031685;022827;1932-03-09;;;;;OPALINE;S;Atlantic Richfield Company /a Delaware corporation /;Los Angeles;US;PHZ "Polservice" ZT-3/2886;NIC: 04 ;;Wygaśnięcie prawa ochronnego;
031688;023239;1932-03-10;;;;;VALVOLINE;SG;Ashland Oil,Inc.;Asland;US;PHZ "Polservice" ZT-3/3176;NIC: 04 ;VIE: 2507 2602 2701 ;Wygaśnięcie prawa ochronnego;
031692;022828;1932-03-11;;;07/08/1932;1932-08-31;NICHROME;S;DRIVER HARRIS COMPANY;HARRISON;US;PHZ "Polservice";NIC: 09 ;;Wygaśnięcie prawa ochronnego;
031939;022850;1932-04-28;;;;;SHELLTOX;S;Shell International Petroleum Company Limited;Londyn;GB;PHZ "Polservice" ZT-3/8121;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
032128;023213;1932-06-15;;;11/1932;1932-11-30;FAIRY;S;PROCTER & GAMBLE LIMITED;WEYBRIDGE;GB;Wanda Kulikowska Kulikowska i Kulikowski Sp. j.;NIC: 03 ;;Udzielenie prawa;
032204;023244;1932-07-05;;;;;PALMOLIVE;SG;Colgate-Palmolive Company;Nowy Jork;US;PIHZ "Patpol" O-2202/WK;NIC: 03 ;VIE: 2505 2705 ;Wygaśnięcie prawa ochronnego;
032331;023197;1923-08-10;;;11/1932;1932-11-30;;G;SOCIÉTÉ DES PRODUITS NESTLÉ S.A.;VEVEY;CH;Maciej Bugalski Société des Produits Nestlé S.A.,Vevey , Szwajcaria, reprezentowana przez: Nestlé Polska S.A.;NIC: 30 ;VIE: 0801 2615 ;Udzielenie prawa;
